question,intent,answer
hi,greeting,Hello! I am JIIT Assistant. How can I help you today?
hello,greeting,Hello! I am JIIT Assistant. How can I help you today?
hey,greeting,Hi! How can I assist you?
good morning,greeting,Good morning! How can I help you?
good afternoon,greeting,Good afternoon! How can I assist you?
good evening,greeting,Good evening! How can I help you?
hi there,greeting,Hello! I am here to help.
hello bot,greeting,Hello! I am JIIT Assistant. Ask me anything about JIIT.
is anyone there,greeting,Yes I am here. How can I assist you?
how are you,greeting,I am functioning perfectly and ready to help you.

bye,greeting,Goodbye! Have a great day.
goodbye,greeting,Goodbye! Have a great day.
see you later,greeting,See you later! Have a wonderful day.
exit,greeting,Closing session. Goodbye.
quit,greeting,Session ended. Goodbye.
talk to you later,greeting,Goodbye! Feel free to return anytime.

thank you,greeting,You are welcome! Is there anything else I can help you with?
thanks,greeting,Happy to help!
thanks a lot,greeting,Glad I could help!
appreciate it,greeting,You're most welcome!
that was helpful,greeting,Happy to assist you anytime.

help,greeting,I can provide information about admissions programs departments placements hostel ERP and campus facilities.
what can you do,greeting,I answer questions related to JIIT academics departments services and campus life.
how can you assist me,greeting,I provide academic and departmental information about JIIT.
what services do you offer,greeting,I offer guidance about JIIT admissions academics placements and facilities.
what can you help me with,greeting,I can assist with programs departments placements and campus information.
how do you work,greeting,I classify your question and provide accurate information about JIIT.
can you guide me,greeting,Yes I can guide you regarding academics departments and services.
i need assistance,greeting,Please tell me your query about JIIT and I will assist you.

what is jiit,college_overview,Jaypee Institute of Information Technology (JIIT) Noida was established in 2001 and became a deemed-to-be university in 2004. It is a premier private institution known for excellence in technical education research and innovation.
tell me about jiit,college_overview,Jaypee Institute of Information Technology (JIIT) Noida is a deemed-to-be university established in 2001. It is accredited with an A grade by NAAC and its B.Tech programs are accredited by NBA. JIIT is recognized for strong academics research and placements.
basic information about jiit,college_overview,JIIT was established in 2001 and granted deemed university status in 2004. It offers undergraduate postgraduate diploma and doctoral programs in engineering management and related fields.
is jiit a deemed university,college_overview,Yes JIIT was conferred deemed-to-be university status in 2004 and is accredited with an A grade by NAAC.
what is the full form of jiit,college_overview,JIIT stands for Jaypee Institute of Information Technology located in Noida Uttar Pradesh.
when was jiit established,college_overview,Jaypee Institute of Information Technology was established in the year 2001 and became a deemed university in 2004.
is jiit government or private,college_overview,JIIT is a private deemed-to-be university under the Jaypee Group educational institutions.
who runs jiit,college_overview,JIIT is part of the Jaypee Group and operates as a private deemed-to-be university in Noida.
where is jiit located,college_overview,JIIT is located in Noida Uttar Pradesh with campuses in Sector 62 and Sector 128.
what are the accreditations of jiit,college_overview,JIIT is accredited with an A grade by NAAC and its B.Tech programs are accredited by NBA for 2024-2027.
is jiit ranked in nirf,college_overview,JIIT has consistently featured in the 54-150 band in NIRF Engineering rankings since 2017.
